symbol,bucket,direction,entry_date,exit_date,entry_price,exit_price,shares,pnl_eur,pnl_pct,exit_reason,hold_days,entry_confidence,size_eur_at_entry
MOS,us_midsmall,LONG,2014-03-31,2014-04-03,49.4934,49.2964,15.1535,-2.98,-0.398,halve_timestop,3,60.0,1500.0
MC.PA,eu_large,LONG,2014-03-31,2014-04-03,134.4854,133.2161,5.5768,-7.08,-0.944,halve_timestop,3,63.33,1500.0
MC.PA,eu_large,LONG,2014-03-31,2014-04-08,134.4854,134.7124,5.5768,-8.73,-1.165,stagnant_8d,8,63.33,750.0
MOS,us_midsmall,LONG,2014-03-31,2014-04-10,49.4934,47.9598,15.1535,-33.24,-4.432,max_hold_10d,10,60.0,750.0
MC.PA,eu_large,LONG,2014-04-09,2014-04-10,135.5881,138.6304,10.9777,23.4,1.572,target,1,60.0,1488.45
MOS,us_midsmall,LONG,2014-04-21,2014-04-24,49.0223,48.668,15.1789,-5.38,-0.723,halve_timestop,3,60.0,1488.2
CL=F,commodity,LONG,2014-04-21,2014-04-24,104.8014,101.6852,7.1001,-22.13,-2.973,halve_timestop,3,60.0,1488.2
MOS,us_midsmall,LONG,2014-04-21,2014-04-30,49.0223,50.1222,15.1789,6.7,0.9,target,9,60.0,744.1
CL=F,commodity,LONG,2014-04-21,2014-05-01,104.8014,99.1714,7.1001,-49.97,-6.716,max_hold_10d,10,60.0,744.1
NVDA,us_large,LONG,2014-04-28,2014-05-01,0.4732,0.4631,1558.0855,-15.72,-2.133,halve_timestop,3,60.0,1474.51
MOS,us_midsmall,LONG,2014-05-02,2014-05-05,49.9847,49.5857,14.6459,-5.84,-0.798,halve_timestop,3,60.0,1464.14
NVDA,us_large,LONG,2014-04-28,2014-05-08,0.4732,0.4613,1558.0855,-28.44,-3.858,max_hold_10d,10,60.0,737.25
F,us_midsmall,LONG,2014-05-05,2014-05-08,15.8495,15.7705,46.1081,-3.64,-0.499,halve_timestop,3,60.0,1461.58
MOS,us_midsmall,LONG,2014-05-02,2014-05-12,49.9847,48.5982,14.6459,-30.31,-4.14,max_hold_10d,10,60.0,732.07
F,us_midsmall,LONG,2014-05-05,2014-05-12,15.8495,15.8004,46.1081,-12.27,-1.678,stagnant_7d,7,60.0,730.79
MOS,us_midsmall,LONG,2014-05-20,2014-05-23,49.4634,49.4062,14.6387,-0.84,-0.116,halve_timestop,3,60.0,1448.15
MOS,us_midsmall,LONG,2014-05-20,2014-05-27,49.4634,49.4461,14.6387,-10.25,-1.416,stagnant_7d,7,60.0,724.08
GOOGL,us_large,LONG,2014-05-27,2014-05-30,28.46,28.511,25.3896,1.3,0.179,halve_timestop,3,60.0,1445.17
MOS,us_midsmall,LONG,2014-05-28,2014-06-02,49.7741,49.7154,29.0141,-11.7,-0.81,stagnant_5d,5,60.0,1444.15
META,us_large,LONG,2014-05-29,2014-06-02,63.9996,62.9223,11.2425,-12.11,-1.683,halve_timestop,4,60.0,1439.03
AAPL,us_large,LONG,2014-06-03,2014-06-04,22.5011,23.006,63.5585,22.09,1.545,target,1,63.33,1430.14
GOOGL,us_large,LONG,2014-05-27,2014-06-06,28.46,28.2307,25.3896,-15.82,-2.189,max_hold_10d,10,60.0,722.59
META,us_large,LONG,2014-05-29,2014-06-09,63.9996,62.7228,11.2425,-24.35,-3.385,max_hold_11d,11,60.0,719.52
JNJ,us_large,LONG,2014-06-05,2014-06-09,103.0369,102.962,6.9411,-0.52,-0.073,halve_timestop,4,61.67,1430.37
JNJ,us_large,LONG,2014-06-05,2014-06-11,103.0369,103.0617,6.9411,-9.83,-1.374,stagnant_6d,6,61.67,715.19
META,us_large,LONG,2014-06-11,2014-06-16,65.4833,64.0295,10.8915,-15.83,-2.22,halve_timestop,5,60.0,1426.43
META,us_large,LONG,2014-06-11,2014-06-18,65.4833,65.436,10.8915,-10.52,-1.474,stagnant_7d,7,60.0,713.21
MC.PA,eu_large,LONG,2014-06-16,2014-06-25,144.5605,143.3407,9.8169,-21.97,-1.548,stagnant_9d,9,60.0,1419.13
GC=F,commodity,LONG,2014-06-24,2014-06-27,1318.889,1315.7025,0.5371,-1.71,-0.242,halve_timestop,3,60.0,1416.78
GC=F,commodity,LONG,2014-06-24,2014-06-30,1318.889,1318.4955,0.5371,-10.21,-1.441,stagnant_6d,6,60.0,708.39
