symbol,bucket,direction,entry_date,exit_date,entry_price,exit_price,shares,pnl_eur,pnl_pct,exit_reason,hold_days,entry_confidence,size_eur_at_entry
CLF,us_midsmall,LONG,2014-03-11,2014-03-12,18.1853,18.5934,82.484,23.66,1.577,target,1,0.0,1500.0
SAP.DE,eu_large,LONG,2014-03-14,2014-03-17,54.1149,55.3292,27.7566,23.7,1.578,target,3,0.0,1502.05
AMZN,us_large,LONG,2014-03-28,2014-04-03,17.045,16.4923,88.2431,-58.77,-3.907,stop,6,0.0,1504.1
GOOGL,us_large,LONG,2014-03-28,2014-04-03,28.073,28.7029,53.5783,23.75,1.579,target,6,0.0,1504.1
AMZN,us_large,LONG,2014-04-07,2014-04-09,16.0896,16.4506,92.9699,23.56,1.575,target,2,0.0,1495.85
GOOGL,us_large,LONG,2014-04-08,2014-04-09,27.3206,27.9336,54.5939,23.47,1.573,target,1,0.0,1491.54
V,us_large,LONG,2014-04-08,2014-04-10,50.8318,51.9723,29.3427,23.47,1.573,target,2,0.0,1491.54
AMZN,us_large,LONG,2014-04-14,2014-04-15,15.9232,15.4069,94.323,-58.7,-3.908,stop,1,0.0,1501.92
V,us_large,LONG,2014-04-14,2014-04-16,50.0749,51.1984,29.9936,23.7,1.578,target,2,0.0,1501.92
ASML.AS,eu_large,LONG,2014-04-16,2014-05-05,60.0698,58.122,24.8228,-58.35,-3.913,stop,19,0.0,1491.1
JPM,us_large,LONG,2014-04-15,2014-05-06,55.2277,53.437,27.1226,-58.57,-3.91,stop,21,0.0,1497.92
ASML.AS,eu_large,LONG,2014-05-06,2014-05-12,58.0848,59.3881,25.4425,23.16,1.567,target,6,0.0,1477.82
CLF,us_midsmall,LONG,2014-05-21,2014-05-22,16.1102,16.4716,91.48,23.07,1.565,target,1,0.0,1473.76
JPM,us_large,LONG,2014-05-07,2014-05-27,53.6839,54.8884,27.3764,22.98,1.563,target,20,0.0,1469.67
CLF,us_midsmall,LONG,2014-06-04,2014-06-05,14.9372,14.4529,98.8103,-57.86,-3.92,stop,1,0.0,1475.95
